Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Interlocking
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
...................................................................................................................................................................Model Checking complete. No error nodes found.Total states: 100228

End of exploration 100227 | Exploration time: 81.777251405 seconds
Start learning (Prioritized Value Iteration)
Update 15500 | last delta: 12915.69118189681
Update 15600 | last delta: 12862.133048731144
Update 15700 | last delta: 12860.311216331143
Update 15800 | last delta: 12858.819589496807
Update 15900 | last delta: 12809.69118189681
Update 16000 | last delta: 12767.333048731145
Update 16100 | last delta: 12765.84142189681
Update 16200 | last delta: 12725.175008731145
Update 16300 | last delta: 12689.649008731141
Update 16400 | last delta: 12688.15738189681
Update 16500 | last delta: 12686.665755062473
Update 16600 | last delta: 12626.722936331147
Update 16700 | last delta: 12625.231309496809
Update 16800 | last delta: 12624.691309496808
Update 16900 | last delta: 12623.61164949681
Update 17000 | last delta: 11721.579808008926
Update 17100 | last delta: 11719.637343858029
Update 17200 | last delta: 11718.49487970713
Update 17300 | last delta: 11718.09487970713
Update 17400 | last delta: 11716.86507970713
Update 17500 | last delta: 11716.552415556229
Update 17600 | last delta: 11715.009951405329
Update 17700 | last delta: 11711.898246033456
Update 17800 | last delta: 11656.09487970713
Update 17900 | last delta: 11603.179808008927
Update 18000 | last delta: 11600.206992008929
Update 18100 | last delta: 11598.86507970713
Update 18200 | last delta: 11597.12206370713
Update 18300 | last delta: 11550.20699200893
Update 18400 | last delta: 11548.66452785803
Update 18500 | last delta: 11546.50449469803
Update 18600 | last delta: 11501.922063707128
Update 18700 | last delta: 11464.39974385803
Update 18800 | last delta: 11463.23727970713
Update 18900 | last delta: 11461.694815556228
Update 19000 | last delta: 11394.884107858028
Update 19100 | last delta: 11393.34164370713
Update 19200 | last delta: 11339.793106848927
Update 19300 | last delta: 11337.564642698031
Update 19400 | last delta: 11336.022178547126
Update 19500 | last delta: 10586.021827208035
Update 19600 | last delta: 10583.673609472226
Update 19700 | last delta: 10582.845391736419
Update 19800 | last delta: 10582.085391736417
Update 19900 | last delta: 10580.976085228225
Update 20000 | last delta: 10579.668956264795
Update 20100 | last delta: 10578.08073852898
Update 20200 | last delta: 10521.673609472226
Update 20300 | last delta: 10465.755007208036
Update 20400 | last delta: 10464.085391736418
Update 20500 | last delta: 10489.176085228226
