Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lakeembedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 43 | Exploration time: 0.05181285 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 1538.1000000000001
Iteration: 4 | delta: 1383.39
Iteration: 5 | delta: 1006.05231
Iteration: 6 | delta: 1437.4195200000004
Iteration: 7 | delta: 3413.08511
Iteration: 8 | delta: 3071.7765990000003
Iteration: 9 | delta: 1638.4931099999997
Iteration: 10 | delta: 1757.6466291000002
Iteration: 11 | delta: 1958.6736351900008
Iteration: 12 | delta: 1427.87308005351
Iteration: 13 | delta: 1079.19463995351
Iteration: 14 | delta: 1637.1596079300107
Iteration: 15 | delta: 1608.5288189043085
Iteration: 16 | delta: 2502.0134988163904
Iteration: 17 | delta: 1302.9083433124906
Iteration: 18 | delta: 1839.5244626263893
Iteration: 19 | delta: 1386.485099999999
Iteration: 20 | delta: 1386.485099999999
Iteration: 21 | delta: 313.8105960900002
Iteration: 22 | delta: 338.66271326094284
Iteration: 23 | delta: 338.66271326094284
Iteration: 24 | delta: 304.7964419348482
Iteration: 25 | delta: 304.7964419348482
Iteration: 26 | delta: 274.3167977413632
Iteration: 27 | delta: 274.3167977413632
Iteration: 28 | delta: 274.3167977413632
Iteration: 29 | delta: 175.0953191980425
Iteration: 30 | delta: 238.12898800115
Iteration: 31 | delta: 157.58578727823806
Iteration: 32 | delta: 141.82720855041407
Iteration: 33 | delta: 238.12898800115
Iteration: 34 | delta: 214.31608920103645
Iteration: 35 | delta: 214.31608920103554
Iteration: 36 | delta: 156.23642902755546
Iteration: 37 | delta: 221.15598684771157
Iteration: 38 | delta: 268.2572738201743
Iteration: 39 | delta: 323.2040403102819
Iteration: 40 | delta: 117.28760402641456
Iteration: 41 | delta: 52.334763302736974
Iteration: 42 | delta: 105.5588436237731
Iteration: 43 | delta: 85.50266333525542
Iteration: 44 | delta: 85.50266333525542
Iteration: 45 | delta: 27.812838944370014
Iteration: 46 | delta: 85.50266333525542
Iteration: 47 | delta: 101.42485254846179
Iteration: 48 | delta: 82.15413056425405
Iteration: 49 | delta: 82.15413056425405
Iteration: 50 | delta: 59.89036118134027
Iteration: 51 | delta: 66.54484575704464
Iteration: 52 | delta: 59.89036118134027
Iteration: 53 | delta: 19.258135705919813
Iteration: 54 | delta: 17.332322135328468
Iteration: 55 | delta: 9.697737297874482
Iteration: 56 | delta: 10.181746761829345
Iteration: 57 | delta: 14.039180929616123
Iteration: 58 | delta: 4.174557917929633
Iteration: 59 | delta: 3.944617309341993
Iteration: 60 | delta: 3.1951400205671234
Iteration: 61 | delta: 6.680244050436158
Iteration: 62 | delta: 4.869897912769375
Iteration: 63 | delta: 7.069650490151616
Iteration: 64 | delta: 5.726416897021409
Iteration: 65 | delta: 4.174557917929633
Iteration: 66 | delta: 5.364664984919727
Iteration: 67 | delta: 4.484061390114221
Iteration: 68 | delta: 4.4056437361387
Iteration: 69 | delta: 4.2647700354018525
Iteration: 70 | delta: 3.5685714262726833
Iteration: 71 | delta: 4.534491640994929
Iteration: 72 | delta: 2.8905428552816375
Iteration: 73 | delta: 2.8905428552816375
Iteration: 74 | delta: 1.4042276199343178
Iteration: 75 | delta: 1.617309269922771
Iteration: 76 | delta: 1.756754968921996
Iteration: 77 | delta: 1.4229715248266075
Iteration: 78 | delta: 1.5810794720300692
Iteration: 79 | delta: 1.6294121380306024
Iteration: 80 | delta: 0.7735540101457445
Iteration: 81 | delta: 0.6961986091318977
Iteration: 82 | delta: 0.5951371408418709
Iteration: 83 | delta: 0.9213137414390076
Iteration: 84 | delta: 0.3569358202312287
Iteration: 85 | delta: 0.6265787482170708
Iteration: 86 | delta: 0.4567759074507194
Iteration: 87 | delta: 0.2996906728785689
Iteration: 88 | delta: 0.41109831670655694
Iteration: 89 | delta: 0.21847450052882778
Iteration: 90 | delta: 0.23418559165293118
Iteration: 91 | delta: 0.3329896365321474
Iteration: 92 | delta: 0.13828425001520372
Iteration: 93 | delta: 0.2996906728785689
Iteration: 94 | delta: 0.24274944503122242
Iteration: 95 | delta: 0.17696434542813222
Iteration: 96 | delta: 0.159267910885319
Iteration: 97 | delta: 0.1966270504763088
Iteration: 98 | delta: 0.17696434542813222
Iteration: 99 | delta: 0.159267910885319
Iteration: 100 | delta: 0.1433411197958776
Reached maximum number of iterations.
Execution time (Incremental VI): 0.055429937 seconds
Nb states discovered (env): 43
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
