Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Interlocking
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 100226 | Exploration time: 135.612201561 seconds
Start learning (Prioritized Value Iteration)
Update 15000 | last delta: 1263.4747799928293
Update 15100 | last delta: 1263.4747799928293
Update 15200 | last delta: 1263.4747799928293
Update 15300 | last delta: 1263.4747799928293
Update 15400 | last delta: 1263.4747799928293
Update 15500 | last delta: 1263.4747799928293
Update 15600 | last delta: 1263.4747799928293
Update 15700 | last delta: 1263.4747799928293
Update 15800 | last delta: 1263.4747799928293
Update 15900 | last delta: 1263.4747799928293
Update 16000 | last delta: 1263.4747799928293
Update 16100 | last delta: 1263.4747799928293
Update 16200 | last delta: 1263.4747799928293
Update 16300 | last delta: 1263.4747799928293
Update 16400 | last delta: 1263.4747799928293
Update 16500 | last delta: 1263.4747799928293
Update 16600 | last delta: 1263.4747799928293
Update 16700 | last delta: 1263.4747799928293
Update 16800 | last delta: 1263.4747799928293
Update 16900 | last delta: 1263.4747799928293
Update 17000 | last delta: 1136.1273019935463
Update 17100 | last delta: 1136.1273019935463
Update 17200 | last delta: 1136.1273019935463
Update 17300 | last delta: 1136.1273019935463
Update 17400 | last delta: 1136.1273019935463
Update 17500 | last delta: 1136.1273019935463
Update 17600 | last delta: 1136.1273019935463
Update 17700 | last delta: 1136.1273019935463
Update 17800 | last delta: 1136.1273019935463
Update 17900 | last delta: 1136.1273019935463
Update 18000 | last delta: 1136.1273019935463
Update 18100 | last delta: 1136.1273019935463
Update 18200 | last delta: 1136.1273019935463
Update 18300 | last delta: 1136.1273019935463
Update 18400 | last delta: 1136.1273019935463
Update 18500 | last delta: 1136.1273019935463
Update 18600 | last delta: 1136.1273019935463
Update 18700 | last delta: 1136.1273019935463
Update 18800 | last delta: 1136.1273019935463
Update 18900 | last delta: 1136.1273019935463
Update 19000 | last delta: 1136.1273019935463
Update 19100 | last delta: 1136.1273019935463
Update 19200 | last delta: 1136.1273019935463
Update 19300 | last delta: 1136.1273019935463
Update 19400 | last delta: 1136.1273019935463
Update 19500 | last delta: 1021.5145717941917
Update 19600 | last delta: 1021.5145717941917
Update 19700 | last delta: 1021.5145717941917
Update 19800 | last delta: 1021.5145717941917
Update 19900 | last delta: 1021.5145717941917
Update 20000 | last delta: 1021.5145717941917
Update 20100 | last delta: 1021.5145717941917
Update 20200 | last delta: 1021.5145717941917
Update 20300 | last delta: 1021.5145717941917
Update 20400 | last delta: 1021.5145717941917
Update 20500 | last delta: 1021.5145717941917
Update 20600 | last delta: 1021.5145717941917
Update 20700 | last delta: 1021.5145717941917
Update 20800 | last delta: 1021.5145717941917
Update 20900 | last delta: 1021.5145717941917
Update 21000 | last delta: 1021.5145717941917
Update 21100 | last delta: 1021.5145717941917
Update 21200 | last delta: 1021.5145717941917
Update 21300 | last delta: 1021.5145717941917
Update 21400 | last delta: 1021.5145717941917
Update 21500 | last delta: 1021.5145717941917
Update 21600 | last delta: 1021.5145717941917
Update 21700 | last delta: 1021.5145717941917
Update 21800 | last delta: 1021.5145717941917
Update 21900 | last delta: 1021.5145717941917
Update 22000 | last delta: 1021.5145717941917
Update 22100 | last delta: 918.3631146147726
Update 22200 | last delta: 918.3631146147726
Update 22300 | last delta: 918.3631146147726
Update 22400 | last delta: 918.3631146147726
Update 22500 | last delta: 918.3631146147726
Update 22600 | last delta: 918.3631146147726
Update 22700 | last delta: 918.3631146147726
Update 22800 | last delta: 918.3631146147726
Update 22900 | last delta: 918.3631146147726
Update 23000 | last delta: 918.3631146147726
Update 23100 | last delta: 918.3631146147726
Update 23200 | last delta: 918.3631146147726
Update 23300 | last delta: 918.3631146147726
Update 23400 | last delta: 918.3631146147726
Update 23500 | last delta: 918.3631146147726
Update 23600 | last delta: 918.3631146147726
Update 23700 | last delta: 918.3631146147726
Update 23800 | last delta: 918.3631146147726
Update 23900 | last delta: 918.3631146147726
Update 24000 | last delta: 918.3631146147726
Update 24100 | last delta: 918.3631146147726
Update 24200 | last delta: 918.3631146147726
Update 24300 | last delta: 918.3631146147726
