Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Mountain_Car
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
........Model Checking complete. No error nodes found.Total states: 12049

End of exploration 12048 | Exploration time: 3.844869873 seconds
Update 18500 | last delta: 0.171
Update 18600 | last delta: 0.171
Update 18700 | last delta: 0.21951000000000004
Update 18800 | last delta: 0.13851000000000002
Update 18900 | last delta: 0.08100000000000002
Update 19000 | last delta: 0.09
Update 19100 | last delta: 0.17780310000000005
Update 19200 | last delta: 0.27855900000000006
Update 19300 | last delta: 0.25070310000000007
Update 19400 | last delta: 0.13851000000000002
Update 19500 | last delta: 0.12465900000000002
Update 19600 | last delta: 0.24390000000000003
Update 19700 | last delta: 0.24390000000000003
Update 19800 | last delta: 0.15390000000000004
Update 19900 | last delta: 0.171
Update 20000 | last delta: 0.1
Update 20100 | last delta: 0.09
Update 20200 | last delta: 0.171
Update 20300 | last delta: 0.08100000000000002
Update 20400 | last delta: 0.24390000000000003
Update 20500 | last delta: 0.15390000000000004
Update 20600 | last delta: 0.13851000000000002
Update 20700 | last delta: 0.11219310000000005
Update 20800 | last delta: 0.15390000000000004
Update 20900 | last delta: 0.21951000000000004
Update 21000 | last delta: 0.171
Update 21100 | last delta: 0.1
Update 21200 | last delta: 0.07290000000000002
Update 21300 | last delta: 0.21951000000000004
Update 21400 | last delta: 0.08100000000000002
Update 21500 | last delta: 0.05904900000000002
Update 21600 | last delta: 0.15390000000000004
Update 21700 | last delta: 0.15390000000000004
Update 21800 | last delta: 0.24390000000000003
Update 21900 | last delta: 0.15390000000000004
Update 22000 | last delta: 0.21951000000000004
Update 22100 | last delta: 0.13851000000000002
Update 22200 | last delta: 0.09
Update 22300 | last delta: 0.12465900000000002
Update 22400 | last delta: 0.09
Update 22500 | last delta: 0.171
Update 22600 | last delta: 0.171
Update 22700 | last delta: 0.15390000000000004
Update 22800 | last delta: 0.06561
Update 22900 | last delta: 0.07290000000000002
Update 23000 | last delta: 0.05904900000000002
Update 23100 | last delta: 0.17780310000000005
Update 23200 | last delta: 0.15390000000000004
Update 23300 | last delta: 0.24390000000000003
Update 23400 | last delta: 0.171
Update 23500 | last delta: 0.09
Update 23600 | last delta: 0.27855900000000006
Update 23700 | last delta: 0.21951000000000004
Update 23800 | last delta: 0.24390000000000003
Update 23900 | last delta: 0.24390000000000003
Update 24000 | last delta: 0.24390000000000003
Update 24100 | last delta: 0.15390000000000004
Update 24200 | last delta: 0.15390000000000004
Update 24300 | last delta: 0.15390000000000004
Update 24400 | last delta: 0.15390000000000004
Update 24500 | last delta: 0.15390000000000004
Update 24600 | last delta: 0.15390000000000004
Update 24700 | last delta: 0.15390000000000004
Update 24800 | last delta: 0.15390000000000004
Update 24900 | last delta: 0.15390000000000004
Update 25000 | last delta: 0.15390000000000004
Update 25100 | last delta: 0.13851000000000002
Update 25200 | last delta: 0.13851000000000002
Update 25300 | last delta: 0.13851000000000002
Update 25400 | last delta: 0.13851000000000002
Update 25500 | last delta: 0.13851000000000002
Update 25600 | last delta: 0.13851000000000002
Update 25700 | last delta: 0.13851000000000002
Update 25800 | last delta: 0.13851000000000002
Update 25900 | last delta: 0.13851000000000002
Update 26000 | last delta: 0.13851000000000002
Update 26100 | last delta: 0.13851000000000002
Update 26200 | last delta: 0.12465900000000002
Update 26300 | last delta: 0.12465900000000002
Update 26400 | last delta: 0.12465900000000002
Update 26500 | last delta: 0.12465900000000002
Update 26600 | last delta: 0.10097379000000006
Update 26700 | last delta: 0.13851000000000002
Update 26800 | last delta: 0.13851000000000002
Update 26900 | last delta: 0.12465900000000002
Update 27000 | last delta: 0.12465900000000002
Update 27100 | last delta: 0.11219310000000005
Update 27200 | last delta: 0.09
Update 27300 | last delta: 0.05904900000000002
Update 27400 | last delta: 0.08100000000000002
Update 27500 | last delta: 0.24390000000000003
Update 27600 | last delta: 0.13851000000000002
Update 27700 | last delta: 0.12465900000000002
Update 27800 | last delta: 0.12465900000000002
Update 27900 | last delta: 0.12465900000000002
Update 28000 | last delta: 0.17780310000000005
Update 28100 | last delta: 0.11219310000000005
Update 28200 | last delta: 0.10097379000000006
Update 28300 | last delta: 0.19755900000000004
Update 28400 | last delta: 0.21951000000000004
Update 28500 | last delta: 0.12465900000000002
Update 28600 | last delta: 0.05904900000000002
Update 28700 | last delta: 0.07290000000000002
Update 28800 | last delta: 0.171
Update 28900 | last delta: 0.07290000000000002
Update 29000 | last delta: 0.13851000000000002
Update 29100 | last delta: 0.05904900000000002
Update 29200 | last delta: 0.09087641099999999
Update 29300 | last delta: 0.171
Update 29400 | last delta: 0.13851000000000002
Update 29500 | last delta: 0.17780310000000005
Update 29600 | last delta: 0.12465900000000002
Update 29700 | last delta: 0.10097379000000006
Update 29800 | last delta: 0.13851000000000002
Update 29900 | last delta: 0.06561
Update 30000 | last delta: 0.06561
Update 30100 | last delta: 0.07290000000000002
Update 30200 | last delta: 0.13851000000000002
Update 30300 | last delta: 0.12465900000000002
Update 30400 | last delta: 0.05904900000000002
Update 30500 | last delta: 0.17780310000000005
Update 30600 | last delta: 0.11219310000000005
Update 30700 | last delta: 0.06561
Update 30800 | last delta: 0.13851000000000002
Update 30900 | last delta: 0.09
Update 31000 | last delta: 0.08100000000000002
Update 31100 | last delta: 0.05904900000000002
Update 31200 | last delta: 0.08100000000000002
Update 31300 | last delta: 0.24390000000000003
Update 31400 | last delta: 0.07290000000000002
Update 31500 | last delta: 0.07290000000000002
Update 31600 | last delta: 0.19755900000000004
Update 31700 | last delta: 0.11219310000000005
Update 31800 | last delta: 0.12465900000000002
Update 31900 | last delta: 0.08100000000000002
Update 32000 | last delta: 0.08100000000000002
Update 32100 | last delta: 0.13851000000000002
Update 32200 | last delta: 0.13851000000000002
Update 32300 | last delta: 0.08100000000000002
Update 32400 | last delta: 0.12465900000000002
Update 32500 | last delta: 0.05904900000000002
Update 32600 | last delta: 0.30951000000000006
Update 32700 | last delta: 0.19755900000000004
Update 32800 | last delta: 0.05904900000000002
Update 32900 | last delta: 0.11219310000000005
Update 33000 | last delta: 0.15390000000000004
Update 33100 | last delta: 0.06561
Update 33200 | last delta: 0.07290000000000002
Update 33300 | last delta: 0.05904900000000002
Update 33400 | last delta: 0.05904900000000002
Update 33500 | last delta: 0.06561
Update 33600 | last delta: 0.171
Update 33700 | last delta: 0.19755900000000004
Update 33800 | last delta: 0.10097379000000006
Update 33900 | last delta: 0.10097379000000006
Update 34000 | last delta: 0.047829690000000036
Update 34100 | last delta: 0.12465900000000002
Update 34200 | last delta: 0.047829690000000036
Update 34300 | last delta: 0.05314410000000003
Update 34400 | last delta: 0.08100000000000002
Update 34500 | last delta: 0.13851000000000002
Update 34600 | last delta: 0.13851000000000002
Update 34700 | last delta: 0.06561
Update 34800 | last delta: 0.13851000000000002
Update 34900 | last delta: 0.05904900000000002
Update 35000 | last delta: 0.09
Update 35100 | last delta: 0.13851000000000002
Update 35200 | last delta: 0.09
Update 35300 | last delta: 0.047829690000000036
Update 35400 | last delta: 0.13851000000000002
Update 35500 | last delta: 0.15390000000000004
Update 35600 | last delta: 0.11219310000000005
Update 35700 | last delta: 0.05904900000000002
Update 35800 | last delta: 0.06561
Update 35900 | last delta: 0.15390000000000004
Update 36000 | last delta: 0.13851000000000002
Update 36100 | last delta: 0.13851000000000002
Update 36200 | last delta: 0.07290000000000002
Update 36300 | last delta: 0.11219310000000005
Update 36400 | last delta: 0.06561
Update 36500 | last delta: 0.11219310000000005
Update 36600 | last delta: 0.05904900000000002
Update 36700 | last delta: 0.05904900000000002
Update 36800 | last delta: 0.05314410000000003
Update 36900 | last delta: 0.05904900000000002
Update 37000 | last delta: 0.09087641099999999
Update 37100 | last delta: 0.09087641099999999
Update 37200 | last delta: 0.09087641099999999
Update 37300 | last delta: 0.07290000000000002
Update 37400 | last delta: 0.06561
Update 37500 | last delta: 0.13851000000000002
Update 37600 | last delta: 0.14402051100000002
Update 37700 | last delta: 0.047829690000000036
Update 37800 | last delta: 0.05904900000000002
Update 37900 | last delta: 0.15390000000000004
Update 38000 | last delta: 0.043046720999999954
Update 38100 | last delta: 0.10097379000000006
Update 38200 | last delta: 0.12465900000000002
Update 38300 | last delta: 0.10097379000000006
Update 38400 | last delta: 0.09087641099999999
Update 38500 | last delta: 0.10097379000000006
Update 38600 | last delta: 0.11219310000000005
Update 38700 | last delta: 0.10097379000000006
Update 38800 | last delta: 0.043046720999999954
Update 38900 | last delta: 0.05314410000000003
Update 39000 | last delta: 0.05904900000000002
Update 39100 | last delta: 0.12465900000000002
Update 39200 | last delta: 0.05314410000000003
Update 39300 | last delta: 0.12465900000000002
Update 39400 | last delta: 0.21951000000000004
Update 39500 | last delta: 0.11219310000000005
Update 39600 | last delta: 0.09087641099999999
Update 39700 | last delta: 0.06561
Update 39800 | last delta: 0.047829690000000036
Update 39900 | last delta: 0.12465900000000002
Update 40000 | last delta: 0.12465900000000002
Update 40100 | last delta: 0.05904900000000002
Update 40200 | last delta: 0.10097379000000006
Update 40300 | last delta: 0.10097379000000006
Update 40400 | last delta: 0.047829690000000036
Update 40500 | last delta: 0.19755900000000004
Update 40600 | last delta: 0.12465900000000002
Update 40700 | last delta: 0.10097379000000006
Update 40800 | last delta: 0.10097379000000006
Update 40900 | last delta: 0.05314410000000003
Update 41000 | last delta: 0.19755900000000004
Update 41100 | last delta: 0.12465900000000002
Update 41200 | last delta: 0.12465900000000002
Update 41300 | last delta: 0.11219310000000005
