Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.784374045 seconds
Start learning (Prioritized Value Iteration)
Update 15300 | last delta: 35.45843276785297
Update 15400 | last delta: 35.419139233291396
Update 15500 | last delta: 35.3921724680657
Update 15600 | last delta: 35.36835782927497
Update 15700 | last delta: 35.339967438753476
Update 15800 | last delta: 35.309976777678415
Update 15900 | last delta: 35.285476460582245
Update 16000 | last delta: 41.95816070817755
Update 16100 | last delta: 37.0347992406353
Update 16200 | last delta: 38.710850137388576
Update 16300 | last delta: 35.25031705449495
Update 16400 | last delta: 35.22521796386106
Update 16500 | last delta: 35.20696942349256
Update 16600 | last delta: 35.17459816280598
Update 16700 | last delta: 38.63808159104393
Update 16800 | last delta: 35.132656339587356
Update 16900 | last delta: 35.10605571209107
Update 17000 | last delta: 35.087231773696665
Update 17100 | last delta: 35.72772146639084
Update 17200 | last delta: 35.0484934598473
Update 17300 | last delta: 35.04358285207164
Update 17400 | last delta: 35.03126716262492
Update 17500 | last delta: 35.025623110060195
Update 17600 | last delta: 37.44707229303904
Update 17700 | last delta: 34.990738431209486
Update 17800 | last delta: 34.97001107400133
Update 17900 | last delta: 34.95538388967268
Update 18000 | last delta: 34.928360494213656
Update 18100 | last delta: 34.904968342403265
Update 18200 | last delta: 34.87531665818382
Update 18300 | last delta: 34.85546972651375
Update 18400 | last delta: 34.82950358542905
Update 18500 | last delta: 34.82188572500921
Update 18600 | last delta: 36.495141107909454
Update 18700 | last delta: 34.806631148610485
Update 18800 | last delta: 34.78150157778655
Update 18900 | last delta: 34.764905057319794
Update 19000 | last delta: 35.13298431784088
Update 19100 | last delta: 34.75154295556767
Update 19200 | last delta: 34.720720222510515
Update 19300 | last delta: 34.69722525591493
Update 19400 | last delta: 34.67390422981328
Update 19500 | last delta: 34.65931140522182
Update 19600 | last delta: 34.634569354161606
Update 19700 | last delta: 34.61183752372055
Update 19800 | last delta: 34.60347853716123
Update 19900 | last delta: 34.5877108344098
Update 20000 | last delta: 34.77918932455896
Update 20100 | last delta: 34.539514988558416
Update 20200 | last delta: 35.48701596592191
Update 20300 | last delta: 34.51168405538589
Update 20400 | last delta: 34.48284280910839
Update 20500 | last delta: 34.46424694907321
Update 20600 | last delta: 34.44307413146293
Update 20700 | last delta: 37.04049217242478
Update 20800 | last delta: 35.447318062183996
Update 20900 | last delta: 34.400299157075814
Update 21000 | last delta: 34.37814044636243
Update 21100 | last delta: 34.369167773158026
Update 21200 | last delta: 34.652092198211676
Update 21300 | last delta: 35.00964865828514
Update 21400 | last delta: 34.299321098339
Update 21500 | last delta: 34.2805236080171
Update 21600 | last delta: 34.263373631883084
Update 21700 | last delta: 34.23761686416978
Update 21800 | last delta: 34.2161561401154
Update 21900 | last delta: 34.20001049288644
Update 22000 | last delta: 34.17544737517836
Update 22100 | last delta: 34.158570492460655
Update 22200 | last delta: 34.142598992882746
Update 22300 | last delta: 34.123971271971484
Update 22400 | last delta: 34.101053758838695
Update 22500 | last delta: 34.08542055088003
Update 22600 | last delta: 34.0697054234324
Update 22700 | last delta: 34.04953327825418
Update 22800 | last delta: 34.03271605612862
Update 22900 | last delta: 34.00970038455731
Update 23000 | last delta: 33.98838820990187
Update 23100 | last delta: 33.9751281980602
Update 23200 | last delta: 33.96128177892489
