run,algorithm,reward,exploration,environment,states,t_explore_sec,t_learn_sec,iterations_or_updates,status,exit_code,log_file
1,BACKWARD_INDUCTION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.350406565,65.012059983,9,SUCCESS,0,experiments/20260710_150729/logs/autoV2/BACKWARD_INDUCTION/ONCEANDFORALL/PREPROCESS/run_1.log
1,BACKWARD_INDUCTION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.118332221,51.707751625,9,SUCCESS,0,experiments/20260710_150729/logs/autoV2/BACKWARD_INDUCTION/ONCEANDFORALL/RECURSIVE/run_1.log
1,BACKWARD_INDUCTION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.43355942,5.475873388,9,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/BACKWARD_INDUCTION/EMBEDDED/PREPROCESS/run_1.log
1,BACKWARD_INDUCTION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.523017783,5.878251994,9,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/BACKWARD_INDUCTION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.431325738,6.750631838,100,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/INCREMENTAL_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.949823136,5.858453406,100,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/INCREMENTAL_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.427515339,5.658320532,9,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/MODIFIED_POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.278203933,5.538914666,12,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/MODIFIED_POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,POLICY_ITERATION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.43199759,5.259154425,8,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/POLICY_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,POLICY_ITERATION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.202848285,3.935731976,8,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/POLICY_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.424768353,4.853672436,50148,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/PRIORITIZED_VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.69909295,6.264587609,51286,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/PRIORITIZED_VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,VALUE_ITERATION,EMBEDDED,PREPROCESS,autoV2embedded,2830,0.427372137,429.632185757,86,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/VALUE_ITERATION/EMBEDDED/PREPROCESS/run_1.log
1,VALUE_ITERATION,EMBEDDED,RECURSIVE,autoV2embedded,2830,1.998510798,446.104876826,95,SUCCESS,0,experiments/20260710_150729/logs/autoV2embedded/VALUE_ITERATION/EMBEDDED/RECURSIVE/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.346592758,757.570113129,558,SUCCESS,0,experiments/20260710_150729/logs/autoV2/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,INCREMENTAL_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.544493074,716.179486582,577,SUCCESS,0,experiments/20260710_150729/logs/autoV2/INCREMENTAL_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.340242129,417.913988852,14,SUCCESS,0,experiments/20260710_150729/logs/autoV2/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,MODIFIED_POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.324501759,379.433529953,12,SUCCESS,0,experiments/20260710_150729/logs/autoV2/MODIFIED_POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.341331252,,1,TIMEOUT,124,experiments/20260710_150729/logs/autoV2/POLICY_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,POLICY_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.254310529,,1,TIMEOUT,124,experiments/20260710_150729/logs/autoV2/POLICY_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.378599369,243.685772264,10000,SUCCESS,0,experiments/20260710_150729/logs/autoV2/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,PRIORITIZED_VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.246439424,276.185528888,10000,SUCCESS,0,experiments/20260710_150729/logs/autoV2/PRIORITIZED_VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,PREPROCESS,autoV2,2830,0.349445393,667.813676198,82,SUCCESS,0,experiments/20260710_150729/logs/autoV2/VALUE_ITERATION/ONCEANDFORALL/PREPROCESS/run_1.log
1,VALUE_ITERATION,ONCEANDFORALL,RECURSIVE,autoV2,2830,1.486733602,772.461117834,87,SUCCESS,0,experiments/20260710_150729/logs/autoV2/VALUE_ITERATION/ONCEANDFORALL/RECURSIVE/run_1.log
1,BACKWARD_INDUCTION,ONCEANDFORALL,PREPROCESS,Frozen_lake,44,0.018677973,0.984205051,9,SUCCESS,0,experiments/20260710_150729/logs/Frozen_lake/BACKWARD_INDUCTION/ONCEANDFORALL/PREPROCESS/run_1.log
