Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 2830 | Exploration time: 1.69909295 seconds
Start learning (Prioritized Value Iteration)
Update 15800 | last delta: 271.9796436312017
Update 15900 | last delta: 287.2308386011782
Update 16000 | last delta: 285.959905687012
Update 16100 | last delta: 282.1471069445197
Update 16200 | last delta: 281.38454719602305
Update 16300 | last delta: 276.8091887050268
Update 16400 | last delta: 274.7671662513876
Update 16500 | last delta: 271.97964363120263
Update 16600 | last delta: 267.65847172304166
Update 16700 | last delta: 266.895911974545
Update 16800 | last delta: 259.14906368428205
Update 16900 | last delta: 254.18658283290097
Update 17000 | last delta: 253.93239625006754
Update 17100 | last delta: 0.4375580673413424
Update 17200 | last delta: 249.12826983452396
Update 17300 | last delta: 206.45329016890628
Update 17400 | last delta: 244.78167926808055
Update 17500 | last delta: 240.81901975094024
Update 17600 | last delta: 236.77480190885035
Update 17700 | last delta: 232.65697926695248
Update 17800 | last delta: 228.76792454960923
Update 17900 | last delta: 224.42133398316673
Update 18000 | last delta: 224.2154428510712
Update 18100 | last delta: 221.91729016890622
Update 18200 | last delta: 220.3035113412734
Update 18300 | last delta: 216.80336209566485
Update 18400 | last delta: 216.1856886993828
Update 18500 | last delta: 210.5999999999999
Update 18600 | last delta: 10.408652437527053
Update 18700 | last delta: 205.68524096255533
Update 18800 | last delta: 201.97920058485033
Update 18900 | last delta: 200.30526419726357
Update 19000 | last delta: 198.27316020714534
Update 19100 | last delta: 195.12302588609782
Update 19200 | last delta: 194.5671198294458
Update 19300 | last delta: 175.1104078465014
Update 19400 | last delta: 185.30201888518422
Update 19500 | last delta: 185.1167168662996
Update 19600 | last delta: 181.78128052636566
Update 19700 | last delta: 180.27473777753676
Update 19800 | last delta: 178.4458441864299
Update 19900 | last delta: 175.1104078465014
Update 20000 | last delta: 172.60883059155094
Update 20100 | last delta: 169.60693788561002
Update 20200 | last delta: 166.7718169966647
Update 20300 | last delta: 163.60315247373
Update 20400 | last delta: 162.247263999785
Update 20500 | last delta: 160.60125976778727
Update 20600 | last delta: 157.5993670618518
Update 20700 | last delta: 155.34794753239476
Update 20800 | last delta: 219.11703204151308
Update 20900 | last delta: 149.94454066170147
Update 21000 | last delta: 147.24283722635664
Update 21100 | last delta: 146.02253759980704
Update 21200 | last delta: 144.54113379100818
Update 21300 | last delta: 141.839430355667
Update 21400 | last delta: 137.38161968734494
Update 21500 | last delta: 135.08517176729765
Update 21600 | last delta: 134.41501314418701
Update 21700 | last delta: 132.51150157358006
Update 21800 | last delta: 130.58695477269157
Update 21900 | last delta: 127.65548732010029
Update 22000 | last delta: 125.16038649708935
Update 22100 | last delta: 121.57665459056807
Update 22200 | last delta: 31.27228705114885
Update 22300 | last delta: 119.11893809552203
Update 22400 | last delta: 117.60236376861053
Update 22500 | last delta: 114.88993858809044
Update 22600 | last delta: 102.67997456260127
Update 22700 | last delta: 109.4189891315109
Update 22800 | last delta: 107.33431627460232
Update 22900 | last delta: 106.0272239748183
Update 23000 | last delta: 103.40094472928286
Update 23100 | last delta: 101.37991306264303
Update 23200 | last delta: 98.4770902183609
Update 23300 | last delta: 95.80538691923357
Update 23400 | last delta: 94.83343788027923
Update 23500 | last delta: 92.41197710634151
Update 23600 | last delta: 13.539341500792943
Update 23700 | last delta: 86.83770587163599
Update 23800 | last delta: 85.73212318731657
Update 23900 | last delta: 82.73086511411111
Update 24000 | last delta: 79.76644307687093
Update 24100 | last delta: 78.13224446054642
Update 24200 | last delta: 76.30381512187341
Update 24300 | last delta: 73.63877558435797
Update 24400 | last delta: 76.16566620175581
Update 24500 | last delta: 69.8421270641229
Update 24600 | last delta: 67.17712462266536
Update 24700 | last delta: 68.54909958158169
