Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.019009232 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1000.0
Iteration: 2 | delta: 1709.0
Iteration: 3 | delta: 2438.0
Iteration: 4 | delta: 2194.2000000000003
Iteration: 5 | delta: 2506.221
Iteration: 6 | delta: 2254.7889
Iteration: 7 | delta: 2506.221
Iteration: 8 | delta: 2028.50001
Iteration: 9 | delta: 2241.1031716710004
Iteration: 10 | delta: 2016.9928545039002
Iteration: 11 | delta: 1633.7642121481595
Iteration: 12 | delta: 3255.498679053511
Iteration: 13 | delta: 2357.7602759581587
Iteration: 14 | delta: 1193.489354180976
Iteration: 15 | delta: 1477.41395091609
Iteration: 16 | delta: 1329.6725558244807
Iteration: 17 | delta: 1535.5636879191288
Iteration: 18 | delta: 977.5987199426304
Iteration: 19 | delta: 313.8105960900002
Iteration: 20 | delta: 337.0766450963429
Iteration: 21 | delta: 303.36898058670886
Iteration: 22 | delta: 303.36898058670886
Iteration: 23 | delta: 273.0320825280378
Iteration: 24 | delta: 135.08517176729947
Iteration: 25 | delta: 131.20487397762372
Iteration: 26 | delta: 323.637731861073
Iteration: 27 | delta: 98.4770902183609
Iteration: 28 | delta: 254.18658283290006
Iteration: 29 | delta: 228.76792454961014
Iteration: 30 | delta: 462.3822292130899
Iteration: 31 | delta: 185.30201888518513
Iteration: 32 | delta: 166.7718169966647
Iteration: 33 | delta: 150.0946352969986
Iteration: 34 | delta: 135.08517176729947
Iteration: 35 | delta: 109.41898913151272
Iteration: 36 | delta: 98.4770902183609
Iteration: 37 | delta: 52.334763302736974
Iteration: 38 | delta: 88.62938119652608
Iteration: 39 | delta: 79.76644307687275
Iteration: 40 | delta: 83.74754837693581
Iteration: 41 | delta: 42.8039591353845
Iteration: 42 | delta: 35.741883607674936
Iteration: 43 | delta: 64.61081889226625
Iteration: 44 | delta: 47.10128697246182
Iteration: 45 | delta: 25.03155504993265
Iteration: 46 | delta: 42.391158275217094
Iteration: 47 | delta: 34.33683820292572
Iteration: 48 | delta: 30.903154382633147
Iteration: 49 | delta: 27.812838944370014
Iteration: 50 | delta: 85.5026633352536
Iteration: 51 | delta: 20.275559590445482
Iteration: 52 | delta: 13.302794647290284
Iteration: 53 | delta: 19.60091826221742
Iteration: 54 | delta: 17.640826435996132
Iteration: 55 | delta: 15.876743792397065
Iteration: 56 | delta: 15.876743792397065
Iteration: 57 | delta: 11.972515182562347
Iteration: 58 | delta: 13.966730811836896
Iteration: 59 | delta: 8.727963568087944
Iteration: 60 | delta: 7.069650490151616
Iteration: 61 | delta: 9.355614990196955
Iteration: 62 | delta: 7.5780481420597425
Iteration: 63 | delta: 7.5780481420597425
Iteration: 64 | delta: 10.09456362027413
Iteration: 65 | delta: 5.153775207319995
Iteration: 66 | delta: 4.638397686587268
Iteration: 67 | delta: 3.9108407740068287
Iteration: 68 | delta: 5.005733921338106
Iteration: 69 | delta: 3.2621012409563264
Iteration: 70 | delta: 3.2621012409563264
Iteration: 71 | delta: 3.381391913522748
Iteration: 72 | delta: 1.9393238836082674
Iteration: 73 | delta: 3.043252722171019
Iteration: 74 | delta: 1.996678111016081
Iteration: 75 | delta: 2.7389274499528256
Iteration: 76 | delta: 2.2185312344627164
Iteration: 77 | delta: 1.7336143455977435
Iteration: 78 | delta: 1.996678111016081
Iteration: 79 | delta: 2.0398262871485713
Iteration: 80 | delta: 1.5361529855554181
Iteration: 81 | delta: 1.3825376869999673
Iteration: 82 | delta: 1.1790184577730543
Iteration: 83 | delta: 0.9550049507961376
Iteration: 84 | delta: 1.3825376869999673
Iteration: 85 | delta: 0.8291823672943792
Iteration: 86 | delta: 0.8291823672943792
Iteration: 87 | delta: 0.8402504556943313
Iteration: 88 | delta: 0.7735540101457445
Iteration: 89 | delta: 0.7170382585336483
Iteration: 90 | delta: 0.6453344326801016
Iteration: 91 | delta: 0.6453344326801016
Iteration: 92 | delta: 0.5466261494702849
Iteration: 93 | delta: 0.4567759074507194
Iteration: 94 | delta: 0.36998848503571935
Iteration: 95 | delta: 0.3329896365321474
Iteration: 96 | delta: 0.2996906728785689
Iteration: 97 | delta: 0.2697216055912577
Iteration: 98 | delta: 0.27234812761344074
Iteration: 99 | delta: 0.13428590689363773
Iteration: 100 | delta: 0.21847450052882778
Reached maximum number of iterations.
Execution time (Incremental VI): 0.09405795 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
