Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.424768353 seconds
Start learning (Prioritized Value Iteration)
Update 15500 | last delta: 313.49678549390956
Update 15600 | last delta: 312.64949688446904
Update 15700 | last delta: 307.8481947642922
Update 15800 | last delta: 302.4820335711538
Update 15900 | last delta: 302.1996040346694
Update 16000 | last delta: 297.3983019144889
Update 16100 | last delta: 292.31457025783857
Update 16200 | last delta: 287.2308386011773
Update 16300 | last delta: 521.8450545559435
Update 16400 | last delta: 282.1471069445197
Update 16500 | last delta: 278.3384966580743
Update 16600 | last delta: 277.06337528786116
Update 16700 | last delta: 272.23383021403606
Update 16800 | last delta: 271.9796436312008
Update 16900 | last delta: 267.65847172303984
Update 17000 | last delta: 263.08311323205635
Update 17100 | last delta: 258.5077547410601
Update 17200 | last delta: 254.18658283289915
Update 17300 | last delta: 253.24609247642002
Update 17400 | last delta: 249.35703775907677
Update 17500 | last delta: 249.12826983452396
Update 17600 | last delta: 244.78167926808055
Update 17700 | last delta: 240.8926245507373
Update 17800 | last delta: 228.76792454961014
Update 17900 | last delta: 350.2981111799554
Update 18000 | last delta: 228.76792454961014
Update 18100 | last delta: 228.53915662506006
Update 18200 | last delta: 224.42133398316764
Update 18300 | last delta: 156.79526293910385
Update 18400 | last delta: 220.3035113412734
Update 18500 | last delta: 216.80336209566485
Update 18600 | last delta: 213.09732171796531
Update 18700 | last delta: 209.39128134025668
Update 18800 | last delta: 205.89113209464813
Update 18900 | last delta: 202.33657941683487
Update 19000 | last delta: 201.97920058485033
Update 19100 | last delta: 198.27316020714534
Update 19200 | last delta: 195.12302588609782
Update 19300 | last delta: 194.41971208042196
Update 19400 | last delta: 191.7875895461675
Update 19500 | last delta: 187.8397923545495
Update 19600 | last delta: 185.1167168662996
Update 19700 | last delta: 182.10292147515065
Update 19800 | last delta: 181.78128052636384
Update 19900 | last delta: 176.7581055353403
Update 20000 | last delta: 175.1104078465014
Update 20100 | last delta: 172.60883059155094
Update 20200 | last delta: 169.60693788561002
Update 20300 | last delta: 166.6050451796691
Update 20400 | last delta: 163.8926293276363
Update 20500 | last delta: 163.60315247373
Update 20600 | last delta: 72.84978365896495
Update 20700 | last delta: 145.92292334181184
Update 20800 | last delta: 152.64624409704993
Update 20900 | last delta: 150.0946352969986
Update 21000 | last delta: 149.94454066170147
Update 21100 | last delta: 147.5033663948725
Update 21200 | last delta: 144.54113379100818
Update 21300 | last delta: 141.839430355667
Update 21400 | last delta: 149.08621588201277
Update 21500 | last delta: 171.48414843694172
Update 21600 | last delta: 134.9500865955306
Update 21700 | last delta: 133.72785122457117
Update 21800 | last delta: 132.5185535037217
