Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = autoV2
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.433893862 seconds
Start learning (Prioritized Value Iteration)
Update 100 | last delta: 1730.0
Update 200 | last delta: 1530.0
Update 300 | last delta: 2102.0
Update 400 | last delta: 2510.0
Update 500 | last delta: 1410.0
Update 600 | last delta: 2060.0
Update 700 | last delta: 2330.0
Update 800 | last delta: 2024.0
Update 900 | last delta: 1290.0
Update 1000 | last delta: 1250.0
Update 1100 | last delta: 2160.8
Update 1200 | last delta: 1190.0
Update 1300 | last delta: 1160.0
Update 1400 | last delta: 2024.0
Update 1500 | last delta: 1096.0
Update 1600 | last delta: 1048.0
Update 1700 | last delta: 2203.728
Update 1800 | last delta: 3002.3744268451846
Update 1900 | last delta: 3119.8195414761476
Update 2000 | last delta: 3915.056399700354
Update 2100 | last delta: 4075.5551207728904
Update 2200 | last delta: 3609.499330900354
Update 2300 | last delta: 2786.596095808227
Update 2400 | last delta: 2696.9858985164806
Update 2500 | last delta: 1674.3247360000003
Update 2600 | last delta: 1420.4702652800963
Update 2700 | last delta: 1048.1093888000003
Update 2800 | last delta: 940.8000000000002
Update 2900 | last delta: 2253.12
Update 3000 | last delta: 928.0
Update 3100 | last delta: 915.2000000000003
Update 3200 | last delta: 752.6400000000003
Update 3300 | last delta: 483.15886021464803
Update 3400 | last delta: 864.0
Update 3500 | last delta: 83.49748436714253
Update 3600 | last delta: 1270.8800000000006
Update 3700 | last delta: 800.0
Update 3800 | last delta: 775.2869888000001
Update 3900 | last delta: 752.6400000000003
Update 4000 | last delta: 742.4000000000005
Update 4100 | last delta: 732.1599999999999
Update 4200 | last delta: 721.9200000000005
Update 4300 | last delta: 711.6799999999998
Update 4400 | last delta: 701.44
Update 4500 | last delta: 691.1999999999998
Update 4600 | last delta: 647.5224596029934
Update 4700 | last delta: 665.1247747728817
Update 4800 | last delta: 536.576
Update 4900 | last delta: 646.7360000000001
Update 5000 | last delta: 819.2
Update 5100 | last delta: 622.2208000000003
Update 5200 | last delta: 604.0998198183051
Update 5300 | last delta: 593.920000000001
Update 5400 | last delta: 585.7279999999996
Update 5500 | last delta: 355.75999999999976
Update 5600 | last delta: 569.3439999999996
Update 5700 | last delta: 561.1520000000005
Update 5800 | last delta: 847.2799999999997
Update 5900 | last delta: 544.768
Update 6000 | last delta: 584.7487999999998
Update 6100 | last delta: 528.384
Update 6200 | last delta: 518.4000000000001
Update 6300 | last delta: 503.808
Update 6400 | last delta: 506.7180800000001
Update 6500 | last delta: 174.0
Update 6600 | last delta: 522.4608000000003
Update 6700 | last delta: 462.8479999999995
Update 6800 | last delta: 455.47519999999986
Update 6900 | last delta: 448.9216000000015
Update 7000 | last delta: 442.36799999999994
Update 7100 | last delta: 435.8144000000002
Update 7200 | last delta: 165.6111812577974
Update 7300 | last delta: 422.75328000000036
Update 7400 | last delta: 416.15359999999964
Update 7500 | last delta: 409.60000000000036
Update 7600 | last delta: 331.20000000000005
Update 7700 | last delta: 200.3868783152493
Update 7800 | last delta: 383.3855999999996
Update 7900 | last delta: 370.27840000000015
Update 8000 | last delta: 364.3801599999997
Update 8100 | last delta: 359.1372800000008
Update 8200 | last delta: 353.8943999999997
Update 8300 | last delta: 348.75136000000066
Update 8400 | last delta: 343.40864000000056
Update 8500 | last delta: 338.1657600000008
Update 8600 | last delta: 395.1184639999997
Update 8700 | last delta: 327.6800000000003
Update 8800 | last delta: 68.43545600000016
Update 8900 | last delta: 301.46560000000045
Update 9000 | last delta: 306.7084799999993
Update 9100 | last delta: 266.3383039999994
Update 9200 | last delta: 291.5041280000005
Update 9300 | last delta: 287.30982400000084
Update 9400 | last delta: 283.1155199999994
Update 9500 | last delta: 278.92121599999973
Update 9600 | last delta: 274.726912000001
Update 9700 | last delta: 49.38291200000003
Update 9800 | last delta: 266.33830399999897
Update 9900 | last delta: 262.14400000000023
Update 10000 | last delta: 257.9496960000006
Execution time (Prioritized VI): 255.441051814 seconds
Total updates performed: 10000
Nb states discovered (env): 2830
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
