Selected algorithm = INCREMENTAL_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Frozen_lake
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 45

End of exploration 44 | Exploration time: 0.019345882 seconds
Start learning (Incremental Value Iteration)
Iteration: 1 | delta: 1900.0
Iteration: 2 | delta: 1000.0
Iteration: 3 | delta: 2439.0
Iteration: 4 | delta: 1975.5900000000001
Iteration: 5 | delta: 1778.031
Iteration: 6 | delta: 1600.2278999999999
Iteration: 7 | delta: 3317.031
Iteration: 8 | delta: 2176.3040391
Iteration: 9 | delta: 1958.67363519
Iteration: 10 | delta: 2176.3040391
Iteration: 11 | delta: 2241.103171671001
Iteration: 12 | delta: 1480.3767351900005
Iteration: 13 | delta: 1910.3256261900005
Iteration: 14 | delta: 1480.3767351900005
Iteration: 15 | delta: 850.4267154038998
Iteration: 16 | delta: 850.4267154038998
Iteration: 17 | delta: 765.3840438635098
Iteration: 18 | delta: 1787.2542432270084
Iteration: 19 | delta: 1608.5288189043076
Iteration: 20 | delta: 1839.5244626263884
Iteration: 21 | delta: 1172.6175089812414
Iteration: 22 | delta: 1655.5720163637498
Iteration: 23 | delta: 1271.522818821441
Iteration: 24 | delta: 977.5987199426313
Iteration: 25 | delta: 187.10647141488698
Iteration: 26 | delta: 135.08517176729947
Iteration: 27 | delta: 338.66271326094466
Iteration: 28 | delta: 274.316797741365
Iteration: 29 | delta: 246.88511796722833
Iteration: 30 | delta: 367.979799478976
Iteration: 31 | delta: 331.1818195310789
Iteration: 32 | delta: 298.06363757797135
Iteration: 33 | delta: 268.2572738201743
Iteration: 34 | delta: 131.20487397762372
Iteration: 35 | delta: 103.3920350332537
Iteration: 36 | delta: 145.7831933084708
Iteration: 37 | delta: 131.20487397762372
Iteration: 38 | delta: 75.37279353924168
Iteration: 39 | delta: 144.79951114372125
Iteration: 40 | delta: 103.3920350332537
Iteration: 41 | delta: 67.83551418531715
Iteration: 42 | delta: 95.00295926139552
Iteration: 43 | delta: 105.55884362377219
Iteration: 44 | delta: 95.00295926139552
Iteration: 45 | delta: 115.47596022357538
Iteration: 46 | delta: 103.92836420121785
Iteration: 47 | delta: 75.76377750268603
Iteration: 48 | delta: 35.741883607674936
Iteration: 49 | delta: 83.03044407883135
Iteration: 50 | delta: 45.53405650158311
Iteration: 51 | delta: 28.950925722216198
Iteration: 52 | delta: 59.406351717386315
Iteration: 53 | delta: 23.450249834994793
Iteration: 54 | delta: 36.23757991182447
Iteration: 55 | delta: 26.41719575572006
Iteration: 56 | delta: 21.39792856213262
Iteration: 57 | delta: 15.385708916739532
Iteration: 58 | delta: 35.364659373970426
Iteration: 59 | delta: 8.176596532422082
Iteration: 60 | delta: 7.358936879179964
Iteration: 61 | delta: 9.085107258247263
Iteration: 62 | delta: 7.358936879179964
Iteration: 63 | delta: 5.960738872136972
Iteration: 64 | delta: 7.578048142057014
Iteration: 65 | delta: 8.437552597773902
Iteration: 66 | delta: 6.150975843775996
Iteration: 67 | delta: 7.222425503229715
Iteration: 68 | delta: 7.593797337995966
Iteration: 69 | delta: 1.996678111016081
Iteration: 70 | delta: 1.996678111016081
Iteration: 71 | delta: 3.1677810269466136
Iteration: 72 | delta: 3.072887612854174
Iteration: 73 | delta: 0.9643046935070743
Iteration: 74 | delta: 0.7029781215669573
Iteration: 75 | delta: 1.0611166119961126
Iteration: 76 | delta: 1.3100205086375354
Iteration: 77 | delta: 1.1140764382744237
Iteration: 78 | delta: 1.1790184577730543
Iteration: 79 | delta: 2.875626018509138
Iteration: 80 | delta: 1.0258094177697785
Iteration: 81 | delta: 2.6602522408902587
Iteration: 82 | delta: 2.853469872066853
Iteration: 83 | delta: 2.3113105963739144
Iteration: 84 | delta: 1.3492339855847604
Iteration: 85 | delta: 2.4415738615316513
Iteration: 86 | delta: 2.1974164753783043
Iteration: 87 | delta: 1.0026687944464356
Iteration: 88 | delta: 0.2996906728785689
Iteration: 89 | delta: 0.5124710506224801
Iteration: 90 | delta: 0.25268262496592797
Iteration: 91 | delta: 0.2697216055912577
Iteration: 92 | delta: 0.1966270504763088
Iteration: 93 | delta: 0.1433411197958776
Iteration: 94 | delta: 0.7513338073185878
Iteration: 95 | delta: 0.22319573034110363
Iteration: 96 | delta: 0.20087615730699326
Iteration: 97 | delta: 0.24511331485336996
Iteration: 98 | delta: 0.09404610869933094
Iteration: 99 | delta: 0.21358039205370005
Iteration: 100 | delta: 0.17300011756378808
Reached maximum number of iterations.
Execution time (Incremental VI): 7.430921645 seconds
Nb states discovered (env): 44
Interactive play is only supported for TicTacToe. Skipping step-by-step display.
